223| sorpresa tras sorpresa | III - 1971 | 78pp
224| pistas pasadas por agua | III - 1971 | 78pp
225| agentes de tomo y lomo | III - 1971 | 78pp
226| la pista del carterista | III - 1971 | 78pp
227| ¡corre pillo, que te pillo! | III - 1971 | 78pp
228| dos mamelucos muy cucos | III - 1971 | 78pp
229| los heroes del estacazo | III - 1971 | 78pp
230| ¡corcholis que listos somos! | III - 1971 | 78pp
231| dos casos como dos capazos | III - 1971 | 78pp
232| experimentos experimentados | III - 1971 | 78pp
233| los artistas de las pistas | III - 1971 | 78pp
234| en sagacidad no tienen rival | III - 1971 | 78pp
235|" en marcha el ""mundial 82"" "| III - 1971 | 78pp
236| dos pilletes muy majetes | III - 1971 | 78pp
237| dos ciclones en acción | III - 1971 | 78pp
238| un despiste tras otro | III - 1971 | 78pp
239| dos locuelos sin remedio | III - 1971 | 78pp
240| ningún gangster les domina | III - 1971 | 78pp
241| su agudeza no tiene límites | III - 1971 | 78pp
242| 2 chalados 2 en el mundial 82 | III - 1971 | 78pp
243| no los salva ni la t.i.a. | III - 1971 | 78pp
244| dos macacos anticacos | III - 1971 | 78pp
245| nacieron para detectives | III - 1971 | 78pp
246| los terribles gemelos | III - 1971 | 78pp
247| el pipiolo de sapientín | III - 1971 | 78pp
248| dos turulatos muy guapos | III - 1971 | 78pp
249| trompazos a gogó | III - 1971 | 78pp
250| Dos sabuesos de peso | III - 1971 | 78pp
251| vaya despiste que llevan | III - 1971 | 78pp
252| agentes sin parangon | III - 1971 | 78pp
253| olimpiada de disparates | III - 1971 | 78pp
254| dos bribones sin malicia | III - 1971 | 78pp
255| los galopines de don pantuflo | III - 1971 | 78pp
256| sandeces a diestra y siniestra | III - 1971 | 78pp
257| dos majaderos simpáticos | III - 1971 | 78pp
258| una travesura tras otra | III - 1971 | 78pp
259| dos bólidos en acción | III - 1971 | 78pp
260| ¡Sálvese quién pueda! | III - 1971 | 78pp
261| a bocinazo limpio | III - 1971 | 78pp
262| despiste tras despiste | III - 1971 | 78pp
263| al rico disparate | III - 1971 | 78pp
264| siempre tan servicial | III - 1971 | 78pp
265| cazadores de mamporros | III - 1971 | 78pp
266| el <<gafe>> de la oficina | III - 1971 | 78pp
267| los pillastres del barrio | III - 1971 | 78pp
268| Igual que un huracán | III - 1971 | 78pp
269| 25 aniversario: solo se nace una vez | III - 1971 | 78pp
270| 25 aniversario: estrellas del comic | III - 1971 | 78pp
271| 25 aniversario: entre amigos | III - 1971 | 78pp
272| 25 aniversario: baile de disfraces | III - 1971 | 78pp
273| 25 aniversario: el mundo loco de dos detectives | III - 1971 | 78pp
274| tortazos a diestro y siniestro | III - 1971 | 78pp
275| más genial cada día | III - 1971 | 78pp
276| ¡pero que grandes son! | III - 1971 | 78pp
277| siempre quieren ayudar | III - 1971 | 78pp
278| pilluelos con buena suerte | III - 1971 | 78pp
279| los artistas de la t.i.a | III - 1971 | 78pp
280| situación apurada | III - 1971 | 78pp
281| travesuras con marcha | III - 1971 | 78pp
282| dos agentes modernos | III - 1971 | 78pp
283| dos granujillas simpáticos | III - 1971 | 78pp
284| el despiste en persona | III - 1971 | 78pp
285| pescadores de embrollos | III - 1971 | 78pp
286| ¡su eficiencia no tiene límites! | III - 1971 | 78pp
287| ¡dos pilletes de aupa! | III - 1971 | 78pp
288| en el país del petrodolar | III - 1971 | 78pp
289| Campeón de desastres | III - 1971 | 78pp
290| la estatua de la libertad | III - 1971 | 78pp
291| Escobar, Rey de la historieta I | III - 1971 | 78pp
292| El terror del más allá | III - 1971 | 78pp
293| Escobar, Rey de la historieta II | III - 1971 | 78pp
294| problemas de peso | III - 1971 | 78pp
295| Escobar, Rey de la historieta III | III - 1971 | 78pp
296| Los Ángeles 84 | III - 1971 | 78pp
297| Escobar, Rey de la historieta IV | III - 1971 | 78pp
298| trastadas a tutiplen | III - 1971 | 78pp
299| Escobar, Rey de la historieta V | III - 1971 | 78pp
300| testigo de cargo | III - 1971 | 78pp
301| tunantes de buen corazón | III - 1971 | 78pp
302| Aventuras locuelas | III - 1971 | 78pp
303| ¡travesuras con mucha pimienta! | III - 1971 | 78pp
304| el cacao espacial | III - 1971 | 78pp
305| ¡quién pudiera comer! | III - 1971 | 78pp
306| ¡que viene el fisco! | III - 1971 | 78pp
307| El retorno del titi | III - 1971 | 78pp
308| El crecepelo infalible | III - 1971 | 78pp
309| El cochecito leré | III - 1971 | 78pp
310| ¡a la caza del chotta! | III - 1971 | 78pp
311| El escarabajo de oro | III - 1971 | 78pp
312| El castillo de los pelmhacudy | III - 1971 | 78pp
313| Dos mozalbetes simpáticos | III - 1971 | 78pp
314| el año internacional de la juventud | III - 1971 | 78pp
315| la secta del zum-bhao | III - 1971 | 78pp
316| Mundial de Mexico 86 | III - 1971 | 78pp
