1978|11|20|"SSAC 33"|"??"|"??"|"??"|"??"|"SSAC"
1978|12|18|"SSAC 34"|"??"|"??"|"??"|"??"|"SSAC"
1979|1|15|"SSAC 35"|"??"|"??"|"??"|"??"|"SSAC"
1979|2|19|"SSAC 36"|"??"|"??"|"??"|"??"|"SSAC"
1979|3|19|"SSAC 37"|"??"|"??"|"??"|"??"|"SSAC"
1979|4|16|"SSAC 38"|"??"|"??"|"??"|"??"|"SSAC"
1979|5|21|"SSAC 39"|"??"|"??"|"??"|"??"|"SSAC"
1979|6|18|"SSAC 40"|"??"|"??"|"??"|"??"|"SSAC"
1979|7|16|"SSAC 41"|"??"|"??"|"??"|"??"|"SSAC"
1979|8|20|"SSAC 42"|"??"|"??"|"??"|"??"|"SSAC"
1979|9|17|"SSAC 43"|"??"|"??"|"??"|"??"|"SSAC"
1979|10|15|"SSAC 44"|"??"|"??"|"??"|"??"|"SSAC"
1979|11|19|"SSAC 45"|"??"|"??"|"??"|"??"|"SSAC"
1979|12|17|"SSAC 46"|"??"|"??"|"??"|"??"|"SSAC"
1980|1|21|"SSAC 47"|"??"|"??"|"??"|"??"|"SSAC"
1980|2|18|"SSAC 48"|"??"|"??"|"??"|"??"|"SSAC"
1980|3|17|"SSAC 49"|"??"|"??"|"??"|"??"|"SSAC"
1980|4|21|"SSAC 50"|"??"|"??"|"??"|"??"|"SSAC"
1980|5|19|"SSAC 51"|"??"|"??"|"??"|"??"|"SSAC"
1980|6|16|"SSAC 52"|"??"|"??"|"??"|"??"|"SSAC"
1980|7|21|"SSAC 53"|"??"|"??"|"??"|"??"|"SSAC"
1980|8|18|"SSAC 54"|"??"|"??"|"??"|"??"|"SSAC"
1980|9|15|"SSAC 55"|"??"|"??"|"??"|"??"|"SSAC"
1980|10|20|"SSAC 56"|"??"|"??"|"??"|"??"|"SSAC"
1980|11|17|"SSAC 57"|"??"|"??"|"??"|"??"|"SSAC"
1980|12|15|"SSAC 58"|"??"|"??"|"??"|"??"|"SSAC"
1981|1|19|"SSAC 59"|"??"|"??"|"??"|"??"|"SSAC"
1981|2|16|"SSAC 60"|"??"|"??"|"??"|"??"|"SSAC"
1981|3|16|"SSAC 61"|"??"|"??"|"??"|"??"|"SSAC"
1981|4|20|"SSAC 62"|"??"|"??"|"??"|"??"|"SSAC"
1981|5|18|"SSAC 63"|"??"|"??"|"??"|"??"|"SSAC"
1981|6|15|"SSAC 64"|"??"|"??"|"??"|"??"|"SSAC"
1981|7|20|"SSAC 65"|"??"|"??"|"??"|"??"|"SSAC"
1981|8|17|"SSAC 66"|"??"|"??"|"??"|"??"|"SSAC"
1981|9|21|"SSAC 67"|"??"|"??"|"??"|"??"|"SSAC"
1981|10|19|"SSAC 68"|"??"|"??"|"??"|"??"|"SSAC"
1981|11|16|"SSAC 69"|"??"|"??"|"??"|"??"|"SSAC"
1981|12|21|"SSAC 70"|"??"|"??"|"??"|"??"|"SSAC"
1982|1|18|"SAC 71"|"??"|"??"|"??"|"??"|"SSAC"
1982|2|15|"SAC 72"|"??"|"??"|"??"|"??"|"SSAC"
1982|3|15|"SAC 73"|"??"|"??"|"??"|"??"|"SSAC"
1982|4|12|"SAC 74"|"??"|"??"|"??"|"??"|"SSAC"
1982|9|13|"SAC 75"|"??"|"??"|"??"|"??"|"SSAC"
1976|12|1|"SSAC XALM P 1977"|"??"|"??"|"??"|"??"|"SSACX"
