Pulgarcito 01 (2 marz 1981)|pag29| pasatiempos (Bermudillo)|||
Pulgarcito 01 (2 marz 1981)|pag30-42|" Fix y Fox ""El loro negro"""|||
Pulgarcito 01 (2 marz 1981)|pag30-42|" Fix y Fox ""El loro negro"""|||
Pulgarcito 01 (2 marz 1981)|pag43-44| pasatiempos (pulgarcito, tete cohete) 27171 27168|||
Pulgarcito 01 (2 marz 1981)|pag43-44| pasatiempos (pulgarcito, tete cohete) 27171 27168|||
Pulgarcito 01 (2 marz 1981)|pag45-48| Lanitas|||
Pulgarcito 01 (2 marz 1981)|pag45-48| Lanitas|||
Pulgarcito 01 (2 marz 1981)|pag49-56 | Tete Cohete (sin titulo) 27193|||
Pulgarcito 01 (2 marz 1981)|pag49-56 | Tete Cohete (sin titulo) 27193|||
Pulgarcito 01 (2 marz 1981)|pag57| pasatiempos (Nero)|||
Pulgarcito 01 (2 marz 1981)|pag57| pasatiempos (Nero)|||
Pulgarcito 01 (2 marz 1981)|pag58-65| Los pitufos (sin titulo)|||
Pulgarcito 01 (2 marz 1981)|pag58-65| Los pitufos (sin titulo)|||
Pulgarcito 01 (2 marz 1981)|pag66-67| Nero (sin titulo) 26972|||
Pulgarcito 01 (2 marz 1981)|pag66-67| Nero (sin titulo) 26972|||
Pulgarcito 01 (2 marz 1981)|pag68-81|" Tom y Jerry ""La guitarra mágica"" (2ª parte)"|||
Pulgarcito 01 (2 marz 1981)|pag68-81|" Tom y Jerry ""La guitarra mágica"" (2ª parte)"|||
Pulgarcito 01 (2 marz 1981)|pag82| pasatiempos (pulgarcito)|||
Pulgarcito 01 (2 marz 1981)|pag82| pasatiempos (pulgarcito)|||
Pulgarcito 01 (2 marz 1981)|pag83-93 |" Bermudillo, el genio del hatillo ""El médico malvado"" (1º episodio)"|||
Pulgarcito 01 (2 marz 1981)|pag83-93 |" Bermudillo, el genio del hatillo ""El médico malvado"" (1º episodio)"|||
Pulgarcito 01 (2 marz 1981)|pag94| pasatiempos (lanitas)|||
Pulgarcito 01 (2 marz 1981)|pag94| pasatiempos (lanitas)|||
Pulgarcito 01 (2 marz 1981)|pag95-98 | El profesor Tragacanto (sin titulo)|||
Pulgarcito 01 (2 marz 1981)|pag95-98 | El profesor Tragacanto (sin titulo)|||
Pulgarcito 01 (2 marz 1981)|pag99| pasatiempos (pitufos)|||
Pulgarcito 01 (2 marz 1981)|pag99| pasatiempos (pitufos)|||
Pulgarcito 01 (2 marz 1981)|Portada | Pulgarcito|||
Pulgarcito 01 (2 marz 1981)|Portada | Pulgarcito|||
Pulgarcito 02 (9 marz 1981)|pag02| pasatiempos y cuadro de revista|||
Pulgarcito 02 (9 marz 1981)|pag02| pasatiempos y cuadro de revista|||
Pulgarcito 02 (9 marz 1981)|pag03-16|" Pulgarcito ""El jardin del Ogro"""|||
Pulgarcito 02 (9 marz 1981)|pag03-16|" Pulgarcito ""El jardin del Ogro"""|||
Pulgarcito 02 (9 marz 1981)|pag100| Publicidad Pulgarcito (pulgarcito)|||
Pulgarcito 02 (9 marz 1981)|pag100| Publicidad Pulgarcito (pulgarcito)|||
Pulgarcito 02 (9 marz 1981)|pag17-30|" Tom y Jerry ""Persecución Implacable"" (1ª parte)"|||
Pulgarcito 02 (9 marz 1981)|pag17-30|" Tom y Jerry ""Persecución Implacable"" (1ª parte)"|||
Pulgarcito 02 (9 marz 1981)|pag31-42|" Fix y Foxy ""¡Lupo, Capitán!"" 105506"|||
Pulgarcito 02 (9 marz 1981)|pag31-42|" Fix y Foxy ""¡Lupo, Capitán!"" 105506"|||
Pulgarcito 02 (9 marz 1981)|pag43| pasatiempos (P. Tragacanto)|||
Pulgarcito 02 (9 marz 1981)|pag43| pasatiempos (P. Tragacanto)|||
Pulgarcito 02 (9 marz 1981)|pag44-47| El Profesor Tragacanto (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag44-47| El Profesor Tragacanto (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag48-49| pasatiempos (pitufos)|||
Pulgarcito 02 (9 marz 1981)|pag48-49| pasatiempos (pitufos)|||
Pulgarcito 02 (9 marz 1981)|pag50-57| Tete Cohete (sin titulo) 27105|||
